game_id,na_sales_in_millions,pal_sales_in_millions,japan_sales_in_millions,other_sales_in_millions,global_sales_in_millions,total_shipped_in_millions
3997,0.22,0.17,,0.06,0.44,
3998,0.13,,0.31,0.01,0.44,
3999,,,,,,0.44
4000,0.34,0.09,,0.01,0.44,
4001,,,0.44,,0.44,
4002,0.36,0.01,,0.06,0.44,
4003,0.26,0.1,0.07,0.01,0.43,
4004,0.36,0.01,,0.06,0.43,
4005,0.21,0.07,0.13,0.02,0.43,
4006,0.21,0.16,,0.05,0.42,
4007,0.24,0.16,,0.03,0.42,
4008,,,,,,0.42
4009,0.32,0.08,,0.01,0.42,
4010,0.18,0.16,0.03,0.04,0.42,
4011,0.17,0.12,0.1,0.03,0.42,
4012,0.23,0.14,,0.04,0.41,
4013,0.3,0.11,,0.01,0.41,
4014,0.3,0.11,,0.01,0.41,
4015,0.36,0.02,,0.03,0.41,
4016,,,0.41,0.0,0.41,
4017,0.38,,,0.03,0.41,
4018,0.34,0.01,,0.06,0.41,
4019,,,0.41,,0.41,
4020,0.15,0.22,,0.05,0.41,
4021,0.24,0.09,,0.07,0.41,
4022,0.34,0.03,0.01,0.03,0.4,
4023,0.2,0.15,,0.05,0.4,
4024,,,0.37,0.03,0.4,
4025,0.06,0.3,,0.04,0.4,
4026,0.21,0.08,0.08,0.03,0.39,
4027,0.23,0.06,0.09,0.01,0.39,
4028,0.24,0.11,,0.04,0.39,
4029,0.17,0.08,0.12,0.02,0.38,
4030,,,0.38,,0.38,
4031,0.21,0.14,,0.02,0.38,
4032,,,,,,0.38
4033,0.24,0.06,0.07,0.01,0.38,
4034,0.34,0.01,,0.03,0.38,
4035,0.29,0.08,,0.01,0.38,
4036,,,,,,0.38
4037,0.11,0.16,,0.1,0.37,
4038,0.35,,,0.03,0.37,
4039,0.11,0.16,0.05,0.05,0.37,
4040,,,0.35,0.02,0.37,
4041,0.11,0.22,,0.04,0.37,
4042,,,0.36,0.01,0.37,
4043,0.1,0.17,,0.1,0.37,
4044,0.21,0.12,,0.03,0.37,
4045,0.31,,0.03,0.02,0.37,
4046,,,0.36,0.0,0.36,
4047,,,0.36,,0.36,
4048,0.18,0.14,,0.05,0.36,
4049,0.3,0.03,,0.03,0.36,
4050,0.31,0.02,,0.03,0.36,
4051,,,,,,0.36
4052,0.27,0.08,,0.01,0.36,
4053,0.33,0.0,,0.02,0.36,
4054,0.27,0.07,,0.01,0.35,
4055,0.16,0.16,,0.04,0.35,
4056,,,,,,0.35
4057,0.13,0.18,,0.04,0.35,
4058,0.17,0.13,,0.04,0.35,
4059,0.09,0.06,0.15,0.05,0.34,
4060,0.17,0.13,,0.04,0.34,
4061,0.17,0.13,,0.04,0.34,
4062,0.28,0.03,0.0,0.03,0.34,
4063,0.16,0.13,,0.04,0.33,
4064,0.17,0.13,,0.03,0.33,
4065,0.3,0.01,,0.02,0.33,
4066,0.12,0.16,,0.05,0.33,
4067,,,,,,0.33
4068,0.14,0.03,,0.16,0.33,
4069,0.1,0.08,0.12,0.03,0.33,
4070,0.12,0.16,,0.04,0.33,
4071,,,0.33,0.0,0.33,
4072,0.17,0.12,,0.03,0.33,
4073,0.22,0.08,,0.03,0.32,
4074,0.25,0.06,,0.01,0.32,
4075,0.23,0.08,,0.01,0.32,
4076,0.18,0.12,,0.02,0.32,
4077,0.29,0.0,,0.02,0.32,
4078,0.15,0.12,,0.04,0.32,
4079,0.22,0.08,,0.01,0.32,
4080,0.17,0.12,,0.02,0.31,
4081,,,,,,0.31
4082,0.28,0.01,,0.02,0.31,
4083,0.27,0.01,,0.02,0.31,
4084,0.09,0.13,0.01,0.07,0.31,
4085,,,,,,0.31
4086,0.22,0.08,,0.01,0.3,
4087,0.15,0.12,,0.04,0.3,
4088,0.15,0.12,,0.04,0.3,
4089,0.27,0.0,,0.02,0.3,
4090,,,,,,0.3
4091,0.24,0.03,,0.02,0.3,
4092,0.02,0.02,0.25,0.01,0.29,
4093,0.2,0.07,,0.03,0.29,
4094,,,0.29,,0.29,
4095,0.15,0.01,0.12,0.01,0.29,
4096,0.14,0.11,,0.04,0.29,
4097,0.16,0.11,,0.03,0.29,
4098,0.09,0.14,0.01,0.05,0.29,
4099,,,,,,0.29
4100,,,0.29,,0.29,
4101,,0.1,0.17,0.01,0.29,
4102,,,0.29,,0.29,
4103,0.1,0.14,,0.05,0.29,
4104,0.14,0.1,,0.05,0.29,
4105,0.25,0.01,,0.02,0.28,
4106,,,,,,0.28
4107,0.26,0.0,,0.02,0.28,
4108,,,,,,0.28
4109,0.22,0.06,,0.01,0.28,
4110,0.22,0.06,,0.01,0.28,
4111,0.12,0.13,,0.03,0.28,
4112,,,,,,0.28
4113,0.23,0.02,,0.02,0.28,
4114,0.14,0.11,,0.04,0.28,
4115,0.25,0.0,,0.02,0.27,
4116,0.15,0.1,,0.02,0.27,
4117,,,,,,0.27
4118,,0.07,0.19,0.01,0.27,
4119,0.13,0.1,,0.03,0.27,
4120,0.19,0.06,,0.02,0.27,
4121,0.17,0.08,,0.02,0.27,
4122,,,,,,0.27
4123,0.13,0.1,,0.03,0.27,
4124,,,,,,0.27
4125,0.06,0.15,,0.05,0.26,
4126,0.09,0.02,,0.16,0.26,
4127,,,0.26,,0.26,
4128,,,0.26,,0.26,
4129,,,0.25,0.01,0.26,
4130,0.19,0.07,,0.0,0.26,
4131,0.2,0.05,,0.01,0.26,
4132,,,0.26,,0.26,
4133,0.24,0.0,,0.02,0.26,
4134,0.13,0.1,,0.03,0.26,
4135,0.24,0.0,,0.02,0.26,
4136,,0.21,0.0,0.04,0.26,
4137,0.23,0.01,,0.02,0.26,
4138,0.15,0.04,0.06,0.01,0.25,
4139,0.14,0.09,,0.02,0.25,
4140,0.2,0.05,,0.01,0.25,
4141,0.05,0.16,,0.05,0.25,
4142,0.15,0.06,,0.03,0.25,
4143,0.09,0.05,0.07,0.03,0.25,
4144,0.12,0.1,,0.03,0.25,
4145,,,,,,0.25
4146,0.23,,,0.02,0.25,
4147,,,0.25,0.0,0.25,
4148,0.18,0.05,,0.02,0.25,
4149,0.12,0.09,,0.03,0.25,
4150,,,,,,0.25
4151,0.12,0.09,,0.03,0.25,
4152,0.12,0.09,,0.03,0.24,
4153,,,,,,0.24
4154,0.23,,,0.02,0.24,
4155,0.05,0.15,,0.04,0.24,
4156,,,,,,0.24
4157,,,,,,0.24
4158,,,,,,0.24
4159,0.1,0.12,,0.02,0.24,
4160,0.1,0.01,0.12,0.01,0.24,
4161,,,,,,0.24
4162,0.07,0.14,,0.03,0.24,
4163,0.18,0.05,,0.01,0.24,
4164,,,,,,0.24
4165,0.18,0.04,,0.02,0.24,
4166,0.17,0.06,,0.0,0.24,
4167,0.13,0.08,,0.02,0.24,
4168,,,0.24,,0.24,
4169,,,0.24,,0.24,
4170,0.11,0.1,,0.02,0.24,
4171,0.21,0.01,,0.02,0.24,
4172,0.2,0.01,,0.02,0.23,
4173,,,,,,0.23
4174,0.18,0.05,,0.01,0.23,
4175,0.15,0.06,,0.02,0.23,
4176,0.07,0.14,,0.03,0.23,
4177,0.11,0.01,0.06,0.04,0.23,
4178,0.15,0.06,,0.02,0.23,
4179,0.14,0.06,,0.03,0.23,
4180,,,0.23,,0.23,
4181,0.16,0.06,,0.0,0.23,
4182,0.19,0.02,,0.02,0.23,
4183,0.21,0.0,,0.02,0.23,
4184,0.11,0.09,,0.03,0.23,
4185,,,,,,0.23
4186,0.11,0.09,,0.03,0.23,
4187,,,,,,0.23
4188,,0.12,0.09,0.01,0.22,
4189,0.2,0.01,,0.02,0.22,
4190,,,,,,0.22
4191,0.11,0.07,,0.04,0.22,
4192,0.21,0.0,,0.02,0.22,
4193,0.11,0.06,0.02,0.03,0.22,
4194,,,,,,0.22
4195,0.04,,0.17,0.0,0.22,
4196,0.12,0.08,,0.02,0.22,
4197,,,,,,0.22
4198,,,0.22,,0.22,
4199,0.12,0.0,0.08,0.01,0.22,
4200,0.17,0.04,,0.01,0.22,
4201,0.11,0.08,,0.03,0.22,
4202,,,0.21,,0.21,
4203,0.2,,,0.02,0.21,
4204,0.14,0.05,,0.02,0.21,
4205,0.2,,,0.02,0.21,
4206,0.17,0.02,,0.02,0.21,
4207,0.18,0.01,,0.02,0.21,
4208,,,0.2,0.01,0.21,
4209,0.09,0.1,,0.02,0.21,
4210,0.09,0.07,0.03,0.02,0.21,
4211,0.07,0.11,,0.02,0.21,
4212,0.14,0.04,,0.02,0.21,
4213,,,0.19,0.01,0.21,
4214,0.11,0.08,,0.01,0.21,
4215,0.1,0.08,,0.02,0.2,
4216,0.09,0.08,,0.03,0.2,
4217,,,0.2,,0.2,
4218,0.11,0.07,,0.02,0.2,
4219,0.15,0.04,,0.01,0.2,
4220,,,,,,0.2
4221,,,,,,0.2
4222,0.13,0.05,,0.02,0.2,
4223,,,,,,0.2
4224,0.15,0.04,,0.01,0.2,
4225,0.07,0.1,,0.02,0.2,
4226,0.15,0.04,,0.01,0.2,
4227,,0.17,,0.03,0.2,
4228,0.17,0.0,,0.02,0.19,
4229,0.18,0.0,,0.02,0.19,
4230,,,,,,0.19
4231,,,0.19,,0.19,
4232,,,0.19,,0.19,
4233,0.15,0.04,,0.01,0.19,
4234,0.17,0.01,,0.01,0.19,
4235,0.14,0.04,,0.01,0.19,
4236,0.14,0.03,0.0,0.01,0.19,
4237,,,0.19,,0.19,
4238,0.17,0.01,,0.01,0.19,
4239,0.15,0.02,,0.01,0.19,
4240,0.14,0.05,,0.0,0.19,
4241,0.14,0.05,,0.0,0.19,
4242,,,0.19,,0.19,
4243,,,,,,0.19
4244,,,0.19,,0.19,
4245,0.17,,,0.01,0.19,
4246,0.14,0.04,,0.01,0.19,
4247,,,,,,0.19
4248,,,,,,0.19
4249,,,0.19,,0.19,
4250,0.09,0.07,,0.03,0.19,
4251,,,,,,0.19
4252,0.12,0.05,,0.02,0.19,
4253,0.06,0.11,,0.02,0.19,
4254,0.17,,,0.01,0.19,
4255,0.11,0.05,,0.02,0.19,
4256,,,,,,0.18
4257,,,,,,0.18
4258,0.09,0.07,,0.02,0.18,
4259,,,,,,0.18
4260,,,,,,0.18
4261,0.13,0.05,,0.0,0.18,
4262,,0.16,,0.02,0.18,
4263,0.09,0.08,,0.02,0.18,
4264,0.15,0.01,,0.01,0.18,
4265,0.16,0.01,,0.01,0.18,
4266,,,,,,0.18
4267,0.1,0.05,,0.03,0.18,
4268,0.14,0.04,,0.01,0.18,
4269,0.08,0.08,,0.02,0.18,
4270,0.04,0.12,,0.02,0.18,
4271,0.02,0.01,0.13,0.01,0.18,
4272,,,,,,0.18
4273,0.06,0.1,,0.02,0.18,
4274,0.14,0.04,,0.0,0.18,
4275,0.09,0.04,,0.05,0.18,
4276,0.08,0.05,,0.04,0.18,
4277,0.16,,,0.01,0.18,
4278,0.1,0.07,,0.01,0.18,
4279,0.16,,,0.01,0.18,
4280,0.1,0.07,,0.01,0.17,
4281,0.16,,,0.01,0.17,
4282,0.09,0.07,,0.02,0.17,
4283,0.11,0.04,,0.03,0.17,
4284,0.01,0.14,,0.02,0.17,
4285,0.14,0.02,,0.02,0.17,
4286,0.13,0.03,,0.0,0.17,
4287,0.09,0.02,0.06,0.01,0.17,
4288,0.15,,,0.02,0.17,
4289,0.1,0.07,,0.01,0.17,
4290,,,0.16,0.01,0.17,
4291,0.07,0.08,,0.02,0.17,
4292,,,,,,0.17
4293,0.05,0.01,0.11,0.0,0.17,
4294,,,0.17,,0.17,
4295,,,0.16,0.0,0.17,
4296,,,,,,0.17
4297,,0.14,,0.03,0.17,
4298,0.11,0.04,,0.01,0.17,
4299,0.02,0.01,0.12,0.01,0.17,
4300,0.04,0.11,,0.01,0.17,
4301,,,,,,0.17
4302,0.12,0.04,,0.01,0.17,
4303,,,,,,0.17
4304,0.01,0.0,0.15,0.0,0.17,
4305,0.07,0.05,0.03,0.01,0.17,
4306,,,0.16,,0.16,
4307,,,,,,0.16
4308,0.14,0.01,,0.01,0.16,
4309,,,,,,0.16
4310,0.08,0.06,,0.02,0.16,
4311,,,,,,0.16
4312,,,,,,0.16
4313,,,,,,0.16
4314,0.15,0.0,,0.01,0.16,
4315,,,,,,0.16
4316,,,0.16,,0.16,
4317,,,,,,0.16
4318,,,,,,0.16
4319,0.08,0.06,,0.02,0.16,
4320,0.08,0.06,,0.02,0.16,
4321,0.09,0.06,,0.01,0.16,
4322,0.08,0.06,,0.02,0.16,
4323,0.05,0.02,0.07,0.02,0.16,
4324,,,0.16,,0.16,
4325,0.08,0.06,,0.01,0.16,
4326,,,,,,0.16
4327,0.07,0.07,,0.01,0.16,
4328,0.05,0.09,,0.02,0.16,
4329,0.03,0.01,0.11,0.0,0.16,
4330,0.11,0.04,,0.01,0.16,
4331,0.14,0.01,,0.01,0.16,
4332,0.14,,,0.01,0.15,
4333,,0.13,,0.02,0.15,
4334,0.14,0.01,,0.01,0.15,
4335,0.14,0.0,,0.01,0.15,
4336,,,,,,0.15
4337,,,,,,0.15
4338,,,0.15,,0.15,
4339,0.04,0.09,,0.02,0.15,
4340,,,,,,0.15
4341,0.11,0.04,,0.0,0.15,
4342,,,,,,0.15
4343,0.07,0.06,,0.02,0.15,
4344,0.1,,0.01,0.04,0.15,
4345,0.11,0.04,,0.0,0.15,
4346,,0.07,0.07,0.02,0.15,
4347,,,0.14,0.01,0.15,
4348,,,0.15,,0.15,
4349,0.07,0.06,,0.02,0.15,
4350,0.12,0.03,,0.0,0.15,
4351,0.11,0.03,,0.01,0.15,
4352,0.07,0.07,,0.01,0.15,
4353,0.11,0.03,,0.01,0.15,
4354,0.11,0.03,,0.0,0.15,
4355,,,,,,0.15
4356,0.13,0.01,,0.01,0.15,
4357,,,0.15,,0.15,
4358,,,0.15,0.0,0.15,
4359,,,0.15,,0.15,
4360,0.11,0.03,,0.0,0.15,
4361,,,0.15,,0.15,
4362,0.14,,,0.01,0.15,
4363,0.08,0.06,,0.01,0.15,
4364,0.08,0.06,,0.01,0.15,
4365,0.07,0.06,,0.02,0.14,
4366,,0.14,,0.01,0.14,
4367,,,,,,0.14
4368,,,0.14,0.0,0.14,
4369,,,0.14,,0.14,
4370,0.09,0.04,,0.01,0.14,
4371,0.07,0.05,,0.02,0.14,
4372,0.12,0.01,,0.01,0.14,
4373,0.07,0.05,,0.02,0.14,
4374,,,0.14,,0.14,
4375,,,0.14,,0.14,
4376,,,,,,0.14
4377,0.07,0.05,,0.02,0.14,
4378,0.13,0.0,,0.01,0.14,
4379,0.11,0.03,,0.0,0.14,
4380,0.08,0.05,,0.01,0.14,
4381,,,0.14,,0.14,
4382,,,,,,0.14
4383,0.11,0.03,,0.0,0.14,
4384,0.07,0.05,,0.02,0.14,
4385,,,,,,0.14
4386,0.08,0.05,,0.01,0.14,
4387,,,0.14,,0.14,
4388,,,,,,0.14
4389,0.11,0.03,,0.01,0.14,
4390,,,,,,0.14
4391,,,,,,0.14
4392,,,,,,0.14
4393,,,0.13,0.01,0.14,
4394,,,0.14,,0.14,
4395,0.1,0.02,,0.01,0.14,
4396,0.12,0.0,,0.01,0.14,
4397,0.1,0.04,,0.0,0.14,
4398,,,0.14,,0.14,
4399,0.12,0.01,,0.01,0.13,
4400,,,0.13,,0.13,
4401,0.07,0.05,,0.02,0.13,
4402,0.12,0.0,,0.01,0.13,
4403,0.1,0.02,,0.01,0.13,
4404,0.12,,,0.01,0.13,
4405,,,0.13,,0.13,
4406,0.09,0.03,,0.01,0.13,
4407,,,,,,0.13
4408,,,,,,0.13
4409,0.07,0.05,,0.01,0.13,
4410,0.08,0.04,,0.01,0.13,
4411,0.08,0.03,,0.02,0.13,
4412,,,0.13,,0.13,
4413,0.06,0.05,,0.02,0.13,
4414,,,0.13,,0.13,
4415,,,,,,0.13
4416,,,0.13,,0.13,
4417,,,,,,0.13
4418,0.12,0.0,,0.01,0.13,
4419,,,,,,0.13
4420,,,,,,0.13
4421,0.11,0.01,,0.01,0.13,
4422,0.09,0.02,,0.01,0.13,
4423,,,,,,0.13
4424,0.11,,,0.01,0.13,
4425,,,0.13,,0.13,
4426,,,,,,0.13
4427,0.07,0.05,,0.01,0.13,
4428,0.05,,0.07,0.01,0.13,
4429,0.11,0.01,,0.01,0.13,
4430,0.08,,0.03,0.01,0.12,
4431,,,0.12,0.01,0.12,
4432,,,,,,0.12
4433,0.02,0.09,,0.02,0.12,
4434,0.06,0.05,,0.02,0.12,
4435,0.11,,,0.01,0.12,
4436,0.11,,,0.01,0.12,
4437,0.03,0.02,0.07,0.01,0.12,
4438,0.07,0.04,,0.02,0.12,
4439,,,0.12,,0.12,
4440,,,,,,0.12
4441,0.07,0.05,,0.01,0.12,
4442,0.07,0.04,,0.01,0.12,
4443,0.06,0.05,,0.02,0.12,
4444,0.06,0.05,,0.02,0.12,
4445,0.09,0.02,,0.01,0.12,
4446,0.1,0.01,,0.01,0.12,
4447,0.07,0.04,,0.02,0.12,
4448,0.08,0.03,,0.01,0.12,
4449,0.09,0.03,,0.0,0.12,
4450,,,0.12,0.0,0.12,
4451,0.1,0.0,,0.02,0.12,
4452,,,0.12,,0.12,
4453,0.08,0.03,,0.01,0.12,
4454,0.11,,,0.01,0.12,
4455,0.08,,0.02,0.02,0.12,
4456,0.06,0.05,,0.02,0.12,
4457,0.06,,0.03,0.02,0.12,
4458,0.07,0.03,,0.02,0.12,
4459,0.08,0.03,,0.01,0.12,
4460,0.08,0.03,,0.01,0.12,
4461,0.06,0.04,,0.02,0.12,
4462,0.06,0.04,,0.02,0.12,
4463,0.11,0.0,,0.01,0.12,
4464,0.06,0.04,,0.01,0.12,
4465,0.09,0.03,,0.0,0.12,
4466,,,,,,0.12
4467,,0.1,,0.01,0.12,
4468,0.09,0.02,,0.0,0.12,
4469,,,0.11,0.01,0.12,
4470,0.06,0.04,,0.01,0.12,
4471,,,0.12,,0.12,
4472,0.09,0.02,,0.0,0.12,
4473,,,0.11,,0.11,
4474,,,,,,0.11
4475,,,,,,0.11
4476,,,0.11,0.0,0.11,
4477,0.06,0.04,,0.01,0.11,
4478,,,0.11,0.01,0.11,
4479,0.09,,0.0,0.02,0.11,
4480,0.1,0.0,,0.01,0.11,
4481,0.1,,,0.01,0.11,
4482,0.02,,0.08,0.01,0.11,
4483,0.08,0.02,,0.01,0.11,
4484,,,0.11,0.0,0.11,
4485,0.06,0.04,,0.01,0.11,
4486,,,,,,0.11
4487,0.09,,,0.02,0.11,
4488,0.06,,0.04,0.02,0.11,
4489,0.09,,,0.02,0.11,
4490,0.1,0.01,,0.01,0.11,
4491,0.08,0.02,,0.01,0.11,
4492,,,,,,0.11
4493,,,0.11,,0.11,
4494,0.06,0.04,0.0,0.01,0.11,
4495,,0.1,,0.02,0.11,
4496,,,0.11,,0.11,
4497,0.06,0.0,0.05,0.0,0.11,
4498,0.1,0.0,,0.01,0.11,
4499,0.09,,0.0,0.02,0.11,
4500,0.09,0.01,,0.01,0.11,
4501,0.07,0.02,0.02,0.01,0.11,
4502,,,0.11,0.0,0.11,
4503,0.02,0.07,,0.02,0.11,
4504,,,0.11,,0.11,
4505,,,0.11,0.0,0.11,
4506,0.1,0.0,,0.01,0.11,
4507,0.1,0.0,,0.01,0.11,
4508,,,,,,0.11
4509,,,0.11,,0.11,
4510,0.08,0.02,,0.0,0.11,
4511,0.09,,0.01,0.01,0.11,
4512,0.08,0.02,,0.0,0.11,
4513,0.08,0.02,,0.0,0.11,
4514,,,0.11,,0.11,
4515,0.09,0.01,,0.01,0.11,
4516,0.07,0.03,,0.01,0.11,
4517,,,0.11,,0.11,
4518,,,0.1,0.01,0.11,
4519,,,,,,0.11
4520,,,0.11,,0.11,
4521,0.06,0.04,,0.01,0.11,
4522,0.06,0.04,,0.01,0.11,
4523,,,0.1,0.01,0.11,
4524,,,,,,0.1
4525,0.1,,,0.01,0.1,
4526,0.06,0.04,,0.01,0.1,
4527,0.09,0.01,,0.01,0.1,
4528,0.09,0.01,,0.01,0.1,
4529,0.05,0.04,,0.01,0.1,
4530,0.07,0.01,0.01,0.01,0.1,
4531,,,,,,0.1
4532,,,0.1,,0.1,
4533,0.08,0.02,,0.0,0.1,
4534,0.08,,0.01,0.02,0.1,
4535,0.08,0.02,,0.0,0.1,
4536,,,,,,0.1
4537,,,,,,0.1
4538,,,0.1,,0.1,
4539,0.0,0.08,,0.02,0.1,
4540,0.09,0.0,,0.01,0.1,
4541,0.08,0.01,,0.01,0.1,
4542,,,0.1,,0.1,
4543,,0.08,,0.02,0.1,
4544,,,0.1,,0.1,
4545,,,0.1,,0.1,
4546,0.04,0.04,,0.02,0.1,
4547,,,,,,0.1
4548,0.09,0.0,,0.01,0.1,
4549,0.06,0.03,,0.01,0.1,
4550,0.09,0.0,,0.01,0.1,
4551,,,,,,0.1
4552,0.07,0.03,,0.0,0.1,
4553,,,0.1,0.0,0.1,
4554,,,0.1,,0.1,
4555,0.05,0.04,,0.01,0.1,
4556,0.08,0.01,,0.01,0.1,
4557,,,0.1,0.0,0.1,
4558,,,0.1,,0.1,
4559,0.09,,,0.01,0.1,
4560,0.04,0.05,,0.01,0.1,
4561,0.08,0.01,,0.01,0.1,
4562,0.08,0.01,,0.01,0.1,
4563,0.08,,,0.01,0.1,
4564,0.07,0.02,,0.01,0.1,
4565,0.05,0.04,,0.01,0.1,
4566,0.09,,,0.01,0.1,
4567,0.07,,0.01,0.02,0.1,
4568,,,0.1,,0.1,
4569,0.06,0.03,,0.01,0.1,
4570,0.07,0.02,,0.0,0.09,
4571,,,0.09,,0.09,
4572,0.08,0.01,,0.01,0.09,
4573,,,0.09,,0.09,
4574,,,0.09,0.0,0.09,
4575,0.09,,,0.01,0.09,
4576,0.05,0.02,,0.02,0.09,
4577,0.07,0.01,,0.01,0.09,
4578,0.05,0.03,,0.01,0.09,
4579,,,0.09,,0.09,
4580,,,0.09,,0.09,
4581,0.08,,,0.01,0.09,
4582,0.07,0.0,,0.01,0.09,
4583,0.06,0.02,,0.01,0.09,
4584,0.08,0.0,,0.01,0.09,
4585,0.08,0.0,,0.01,0.09,
4586,0.06,0.02,,0.01,0.09,
4587,0.06,0.02,,0.0,0.09,
4588,0.06,0.02,,0.0,0.09,
4589,0.04,0.03,,0.01,0.09,
4590,,,0.09,,0.09,
4591,0.07,0.0,,0.01,0.09,
4592,0.05,0.03,,0.01,0.09,
4593,0.06,0.02,,0.0,0.09,
4594,,,0.08,,0.08,
4595,,,0.08,0.0,0.08,
4596,0.05,0.03,,0.01,0.08,
4597,0.05,0.02,,0.02,0.08,
4598,0.06,0.02,,0.0,0.08,
4599,0.06,0.02,,0.0,0.08,
4600,0.05,0.03,,0.01,0.08,
4601,0.07,0.0,,0.01,0.08,
4602,0.02,0.05,,0.01,0.08,
4603,0.08,,,0.01,0.08,
4604,0.08,0.0,,0.01,0.08,
4605,,,0.08,,0.08,
4606,0.0,0.08,,0.0,0.08,
4607,0.08,,,0.01,0.08,
4608,0.07,0.0,,0.01,0.08,
4609,,,0.08,,0.08,
4610,0.05,0.02,,0.01,0.08,
4611,0.07,,,0.01,0.08,
4612,0.06,0.01,,0.01,0.08,
4613,0.05,0.02,,0.01,0.08,
4614,,,0.08,,0.08,
4615,,0.04,0.03,0.01,0.08,
4616,0.03,0.04,,0.01,0.08,
4617,0.05,0.02,,0.01,0.08,
4618,,,0.08,,0.08,
4619,0.05,0.02,,0.01,0.08,
4620,,,0.08,,0.08,
4621,,,0.08,0.0,0.08,
4622,0.06,0.01,,0.01,0.08,
4623,,,0.08,,0.08,
4624,0.07,,,0.01,0.08,
4625,,,0.08,,0.08,
4626,,,0.08,,0.08,
4627,,,0.08,,0.08,
4628,,0.07,,0.01,0.08,
4629,,,0.08,,0.08,
4630,0.07,0.01,,0.01,0.08,
4631,,,0.08,,0.08,
4632,,0.07,,0.01,0.08,
4633,,,0.08,0.0,0.08,
4634,0.07,0.0,,0.01,0.08,
4635,0.07,0.0,,0.01,0.08,
4636,0.07,,,0.0,0.08,
4637,,,0.08,,0.08,
4638,0.07,0.0,0.0,0.01,0.08,
4639,0.04,0.03,,0.01,0.08,
4640,0.06,0.01,,0.01,0.07,
4641,,,0.07,0.0,0.07,
4642,,,0.07,,0.07,
4643,0.07,,,0.01,0.07,
4644,0.03,0.04,,0.01,0.07,
4645,,,0.07,,0.07,
4646,0.07,,0.0,0.01,0.07,
4647,,,0.07,0.0,0.07,
4648,0.06,0.01,,0.01,0.07,
4649,0.05,0.02,,0.0,0.07,
4650,,,0.07,,0.07,
4651,0.06,0.01,,0.0,0.07,
4652,,,0.07,0.0,0.07,
4653,0.02,0.05,,0.01,0.07,
4654,,,0.07,,0.07,
4655,0.05,0.01,,0.01,0.07,
4656,,,0.07,,0.07,
4657,0.04,0.03,,0.01,0.07,
4658,0.07,,,0.01,0.07,
4659,,,0.07,,0.07,
4660,,,0.07,,0.07,
4661,,0.06,,0.01,0.07,
4662,0.06,,,0.01,0.07,
4663,0.03,0.03,,0.01,0.07,
4664,,,0.07,,0.07,
4665,,,0.07,,0.07,
4666,0.07,,,0.01,0.07,
4667,0.05,0.02,,0.0,0.07,
4668,,,0.07,,0.07,
4669,,,0.07,,0.07,
4670,0.06,0.01,,0.0,0.07,
4671,,,0.07,,0.07,
4672,0.05,0.02,,0.0,0.07,
4673,0.04,0.02,,0.01,0.07,
4674,,,0.07,,0.07,
4675,0.06,,,0.01,0.07,
4676,,0.06,,0.01,0.07,
4677,,,0.07,,0.07,
4678,,,0.07,,0.07,
4679,0.04,0.03,,0.01,0.07,
4680,,,0.06,0.0,0.07,
4681,0.03,0.03,,0.01,0.07,
4682,0.06,0.0,,0.01,0.07,
4683,,,0.07,,0.07,
4684,0.03,,0.03,0.01,0.07,
4685,0.03,0.03,,0.01,0.07,
4686,0.03,0.03,,0.01,0.07,
4687,0.06,,,0.01,0.07,
4688,0.06,,,0.0,0.07,
4689,0.05,,,0.01,0.07,
4690,0.05,0.02,,0.0,0.07,
4691,,,0.07,,0.07,
4692,0.05,,,0.01,0.07,
4693,0.05,,,0.01,0.07,
4694,0.06,,,0.01,0.07,
4695,,,0.07,,0.07,
4696,,,0.07,,0.07,
4697,,,0.07,,0.07,
4698,0.05,0.01,,0.0,0.07,
4699,0.06,0.0,,0.01,0.07,
4700,0.01,0.01,0.05,0.0,0.07,
4701,0.04,0.02,,0.0,0.06,
4702,0.05,0.01,,0.0,0.06,
4703,,,0.06,0.0,0.06,
4704,0.06,,,0.01,0.06,
4705,,,0.06,,0.06,
4706,,,0.06,,0.06,
4707,0.06,0.0,,0.0,0.06,
4708,,,0.06,,0.06,
4709,,,0.06,,0.06,
4710,,,0.06,,0.06,
4711,0.06,,,0.0,0.06,
4712,0.04,0.01,,0.0,0.06,
4713,0.03,0.02,,0.01,0.06,
4714,,,0.06,,0.06,
4715,0.05,,,0.01,0.06,
4716,,0.03,0.03,0.0,0.06,
4717,,,0.06,0.0,0.06,
4718,,,0.06,,0.06,
4719,,0.05,,0.01,0.06,
4720,0.05,0.01,,0.0,0.06,
4721,0.05,0.01,,0.0,0.06,
4722,,0.05,,0.01,0.06,
4723,,,0.06,,0.06,
4724,0.05,,,0.01,0.06,
4725,0.06,,,0.0,0.06,
4726,,,0.06,,0.06,
4727,,,0.06,,0.06,
4728,,,0.06,,0.06,
4729,0.04,0.02,,0.0,0.06,
4730,0.0,0.05,,0.0,0.06,
4731,,,0.06,0.0,0.06,
4732,0.05,,,0.0,0.06,
4733,0.05,,,0.01,0.06,
4734,,,0.06,,0.06,
4735,0.05,,,0.01,0.06,
4736,0.05,,,0.0,0.06,
4737,0.04,0.01,,0.0,0.06,
4738,,,0.06,,0.06,
4739,0.05,0.0,,0.0,0.06,
4740,0.03,0.02,,0.0,0.06,
4741,,,0.06,,0.06,
4742,,0.05,,0.01,0.06,
